fsq_id,name,city,latitude,longitude,address,categories,cluster,parent,llama-3.3-70b-versatile_category,llama-3.3-70b-versatile_tags,llama-3.3-70b-versatile_match_score,egyptian price,foreigner price,website,tags,place_type,Beach & Relaxation,Cultural & Historical,Entertainment & Activities,Food & Gastronomy,Nature & Adventure,Nightlife & Festive,Religious,Shopping,Sports & Physical Activities,Wellness & Spa,day_time,country
50f0250ee4b0f29e66491cb2,Hammam of Sultan Inal (حمام السلطان الأشرف إينال),Cairo,30.05058729,31.26143038,"El Moez St, القاهرة الإسلامية, القاهرة",['Historic and Protected Site'],-2,El Moez St (شارع المعز لدين الله),Historical & Cultural Site,['Cultural & Historical'],80,,,,['Cultural & Historical'],child,0,1,0,0,0,0,0,0,0,0,morning,Egypt
53a7f7a4498e6acf6f771a1a,Sabil Abdul Rahman Katakhda (سبيل عبد الرحمن كتخدا),Cairo,30.05066477,31.26158317,,['Historic and Protected Site'],-2,El Moez St (شارع المعز لدين الله),Historical & Cultural Site,['Cultural & Historical'],70,,,,['Cultural & Historical'],child,0,1,0,0,0,0,0,0,0,0,morning,Egypt
55154d5d498e91c79866ad7d,Sekket El Kabouah (سكة القبوة),Cairo,30.04800987,31.26161575,Khan El Khalili,['Historic and Protected Site'],-2,Al-Hussain (الحسين),Historical & Cultural Site,['Cultural & Historical'],60,,,,['Cultural & Historical'],child,0,1,0,0,0,0,0,0,0,0,morning,Egypt
52ece23c11d22353e7808671,Beit El Qady (بيت القاضي),Cairo,30.04959825,31.26225114,"El Moez St, القاهرة الإسلامية, القاهرة",['Historic and Protected Site'],-2,El Moez St (شارع المعز لدين الله),Historical & Cultural Site,['Cultural & Historical'],80,,,,['Cultural & Historical'],child,0,1,0,0,0,0,0,0,0,0,morning,Egypt
561f03de498e0559be3b7318,Mohamed Bek Abu Al Dahab Complex (مجموعة محمد بك ابو الدهب),Cairo,30.04587598,31.26137639,"Imam Mohamed Abdo St (El Azhar St), الجمالية, القاهرة","['Historic and Protected Site', 'Mosque']",-2,Al-Hussain (الحسين),Historical & Cultural Site,['Cultural & Historical'],85,,,,['Cultural & Historical'],child,0,1,0,0,0,0,0,0,0,0,morning,Egypt
4d9f25fa2052f04de770c494,Magic Galaxy,Cairo,30.0724307,31.34672202,"CityStars (Omar Ibn El Khattab St.), مصر الجديدة, القاهرة",['Arcade'],-2,CityStars (سيتي ستارز),Entertainment & Activities,['Entertainment & Activities'],60,,,,['Entertainment & Activities'],child,0,0,1,0,0,0,0,0,0,0,afternoon,Egypt
5d124bb152b6b10023be8eb6,Snow City,Cairo,30.073565,31.346653,"CityStars (Omar Ibn El Khattab St.), Masaken Al Mohandesin, Cairo Governorate",['Skating Rink'],-2,CityStars (سيتي ستارز),Entertainment & Activities,['Entertainment & Activities'],50,,,,['Entertainment & Activities'],child,0,0,1,0,0,0,0,0,0,0,afternoon,Egypt
4e4eb5a3fa7626401e9f4565,Beshtak Palace (قصر الامير بشتاك),Cairo,30.04566361,31.26676366,"El Moez St, El-Gamaleya, Cairo Governorate","['Historic and Protected Site', 'Palace']",-2,El Moez St (شارع المعز لدين الله),Historical & Cultural Site,['Cultural & Historical'],85,,,,['Cultural & Historical'],child,0,1,0,0,0,0,0,0,0,0,morning,Egypt
513b0c27e4b012e80611024f,El Gamaleya,Cairo,30.04849918,31.26500891,"القاهرة, القاهرة",['Historic and Protected Site'],-2,Al-Hussain (الحسين),Historical & Cultural Site,['Cultural & Historical'],60,,,,['Cultural & Historical'],child,0,1,0,0,0,0,0,0,0,0,morning,Egypt
50c4cb81e4b0c5b6f4e8c01a,Beit El Sett Wasila (بيت الست وسيلة - بيت الشعر العربي),Cairo,30.04578722,31.26408682,El Eini Lane (Behind Al Azhar Mosque),['Historic and Protected Site'],-2,Al-Hussain (الحسين),Historical & Cultural Site,['Cultural & Historical'],80,,,,['Cultural & Historical'],child,0,1,0,0,0,0,0,0,0,0,morning,Egypt
